"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"1","CPRD GOLD","overall","overall","overall","overall","general",NA,"snapshot_date","date","2026-03-09","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","general",NA,"person_count","integer","100000","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","general",NA,"vocabulary_version","character","v5.0 27-FEB-25","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","cdm",NA,"source_name","character","Clinical Practice Research Datalink, GOLD 202507  release","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","cdm",NA,"version","character","5.4","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","cdm",NA,"holder_name","character","NDORMS","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","cdm",NA,"release_date","character","2025-08-15","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","cdm",NA,"description","character","The Clinical Practice Research Datalink (CPRD) GOLD is a database of anonymised electronic health records (EHR) from General Practitioner (GP) clinics in the UK.","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","cdm",NA,"documentation_reference","character","https://cprd.com/primary-care-data-public-health-research","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","observation_period",NA,"count","integer","100000","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","observation_period",NA,"start_date","date","1987-09-09","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","observation_period",NA,"end_date","date","2025-05-20","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","cdm_source",NA,"type","character","postgresql","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","cdm_source",NA,"package","character","CDMConnector","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","cdm_source",NA,"write_schema","character","results","overall","overall"
"1","CPRD GOLD","overall","overall","overall","overall","cdm_source",NA,"write_prefix","character","mc_pca_","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Records per person",NA,"mean","numeric","1","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Records per person",NA,"sd","numeric","0","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Records per person",NA,"min","integer","1","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Records per person",NA,"q05","integer","1","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Records per person",NA,"q25","integer","1","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Records per person",NA,"median","integer","1","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Records per person",NA,"q75","integer","1","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Records per person",NA,"q95","integer","1","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Records per person",NA,"max","integer","1","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days",NA,"mean","numeric","3048.49595","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days",NA,"sd","numeric","2725.38990216167","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days",NA,"min","integer","2","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days",NA,"q05","integer","120","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days",NA,"q25","integer","729","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days",NA,"median","integer","2148","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days",NA,"q75","integer","4930","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days",NA,"q95","integer","8257","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days",NA,"max","integer","13308","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"mean","numeric","3048.49595","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"sd","numeric","2725.38990216167","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"min","integer","2","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"q05","integer","120","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"q25","integer","729","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"median","integer","2148","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"q75","integer","4930","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"q95","integer","8257","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","1st","overall","overall","Duration in days",NA,"max","integer","13308","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Number records",NA,"count","integer","100000","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Number subjects",NA,"count","integer","100000","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_001","density_x","numeric","-733.85527358365","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_001","density_y","numeric","5.84707544795362e-07","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_002","density_x","numeric","-704.936074861209","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_002","density_y","numeric","8.58382984936877e-07","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_003","density_x","numeric","-676.016876138768","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_003","density_y","numeric","1.24078622908723e-06","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_004","density_x","numeric","-647.097677416328","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_004","density_y","numeric","1.76656912226695e-06","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_005","density_x","numeric","-618.178478693887","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_005","density_y","numeric","2.4782109593579e-06","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_006","density_x","numeric","-589.259279971446","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_006","density_y","numeric","3.42678576816178e-06","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_007","density_x","numeric","-560.340081249005","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_007","density_y","numeric","4.67254167567668e-06","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_008","density_x","numeric","-531.420882526564","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_008","density_y","numeric","6.28522410126256e-06","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_009","density_x","numeric","-502.501683804123","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_009","density_y","numeric","8.34407163850337e-06","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_010","density_x","numeric","-473.582485081682","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_010","density_y","numeric","1.10287902773981e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_011","density_x","numeric","-444.663286359241","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_011","density_y","numeric","1.43904904262681e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_012","density_x","numeric","-415.7440876368","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_012","density_y","numeric","1.85236014789274e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_013","density_x","numeric","-386.824888914359","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_013","density_y","numeric","2.35311812054834e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_014","density_x","numeric","-357.905690191919","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_014","density_y","numeric","2.95120168152576e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_015","density_x","numeric","-328.986491469478","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_015","density_y","numeric","3.6556022906199e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_016","density_x","numeric","-300.067292747037","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_016","density_y","numeric","4.47392780602054e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_017","density_x","numeric","-271.148094024596","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_017","density_y","numeric","5.41188514412205e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_018","density_x","numeric","-242.228895302155","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_018","density_y","numeric","6.47957554771396e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_019","density_x","numeric","-213.309696579714","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_019","density_y","numeric","7.68117459895649e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_020","density_x","numeric","-184.390497857273","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_020","density_y","numeric","8.99922794660673e-05","overall","overall"
"2","CPRD GOLD","observation_period_ordinal","all","overall","overall","Duration in days","density_021","density_x","numeric","-155.471299134832","overall","overall"
